month,temp,wind,rh,dmc,dc,ffmc
jun,37,6.6,39,56,104,77
feb,20,3.6,78,71,196,83
dec,26,1.8,56,51,258,78
may,18,9.4,14,38,233,71
jul,14,6.1,88,41,233,84
jun,19,1.9,28,51,132,87
apr,6,9.4,20,50,203,80
jul,12,3.2,91,68,390,86
jun,26,7.8,31,76,256,88
mar,12,8.6,43,37,111,82
apr,35,1.5,61,66,171,74
feb,8,7.9,84,38,384,77
jan,6,5.6,15,48,317,72
may,23,7.3,32,57,168,81
jan,33,1.9,92,37,168,80
nov,6,9.0,89,45,333,70
may,14,9.0,33,55,164,87
apr,19,3.1,51,34,108,86
oct,31,6.6,67,33,232,89
jul,33,9.2,39,72,212,77
jul,36,9.7,95,48,151,73
nov,9,1.9,39,34,344,89
jun,8,1.0,44,34,126,73
jan,32,2.9,23,50,311,90
jun,11,7.2,86,23,319,75
apr,32,1.7,57,52,207,80
may,18,7.4,83,27,138,84
oct,25,5.1,22,75,80,74
apr,37,2.6,24,53,287,82
jul,13,7.1,62,62,127,75
jan,8,4.5,87,55,309,84
sep,10,7.7,83,64,386,88
jun,6,9.6,20,40,380,77
sep,13,9.3,88,23,118,83
aug,18,8.4,16,68,112,88
mar,31,1.5,92,58,166,76
dec,13,7.5,89,53,280,70
jun,30,1.7,15,72,216,77
dec,14,3.5,66,52,80,75
mar,5,4.6,92,68,221,79
jan,7,1.0,49,79,164,78
apr,36,6.0,71,44,131,75
apr,24,1.8,32,42,393,82
oct,17,3.4,23,26,368,81
aug,6,9.0,92,80,380,76
nov,14,1.6,67,56,173,80
nov,23,5.5,74,74,318,88
aug,9,2.1,93,21,190,90
aug,30,2.0,46,73,377,90
jun,36,6.9,30,61,158,82
mar,31,5.7,39,44,146,80
sep,34,8.0,39,69,203,85
jan,15,3.0,33,32,120,71
sep,26,7.9,85,52,369,88
nov,29,1.2,53,34,261,89
jun,27,5.2,82,59,372,70
apr,19,7.8,81,62,306,84
nov,36,6.7,93,74,318,78
may,14,3.2,37,79,184,73
oct,37,8.8,67,37,153,72
sep,34,3.5,49,50,227,70
jan,26,2.3,70,55,156,73
feb,33,3.3,32,73,366,74
feb,9,9.7,18,77,232,84
jun,32,3.8,24,41,146,78
jan,32,3.1,60,62,261,84
jan,9,9.5,90,28,157,88
jan,29,7.0,33,24,151,78
mar,26,4.0,42,51,221,83
dec,37,2.9,47,70,274,86
nov,20,9.1,60,56,131,82
mar,35,2.8,32,42,332,85
jan,7,6.8,43,41,255,70
oct,22,6.7,85,61,269,90
nov,12,5.6,43,56,153,88
jul,13,3.2,14,29,257,80
may,34,0.8,95,73,153,82
feb,7,0.8,63,56,110,71
jan,29,6.0,45,26,382,89
may,23,1.7,38,77,396,88
may,35,8.2,44,22,143,80
aug,33,7.3,65,78,243,79
jun,5,3.4,90,34,189,83
feb,33,4.0,12,37,262,73
nov,25,1.1,84,44,266,79
oct,33,9.8,12,52,323,82
jul,33,6.1,43,60,265,72
apr,28,7.6,18,22,265,90
feb,8,5.6,22,80,254,84
aug,11,7.4,31,32,280,88
dec,10,4.9,77,69,291,80
oct,22,3.4,13,27,393,78
jan,24,8.9,34,52,277,70
aug,15,9.9,22,38,355,81
mar,26,1.7,41,40,92,88
sep,33,8.3,79,45,256,78
dec,14,2.4,55,44,319,84
apr,20,8.5,18,59,368,78
dec,32,10.0,57,60,354,84
sep,23,2.9,89,48,162,72
nov,27,5.5,34,63,243,84
nov,22,7.0,80,23,180,83
feb,33,8.0,46,68,338,72
oct,7,4.9,62,52,206,81
feb,8,5.1,56,71,310,85
jul,36,5.2,39,61,93,73
apr,15,6.5,47,20,174,81
apr,25,7.5,90,27,131,73
jul,33,3.2,87,54,292,85
nov,21,1.2,21,72,359,88
sep,35,7.9,19,48,351,72
jun,27,3.3,26,63,90,72
may,17,7.7,91,20,161,78
aug,31,6.9,34,48,232,71
jul,8,3.3,33,57,352,88
mar,20,8.7,33,37,385,85
sep,28,1.1,27,46,236,74
oct,25,2.6,64,59,225,71
oct,10,4.0,26,67,121,80
jun,14,6.3,37,78,196,70
jul,34,1.3,75,33,376,75
may,6,2.8,79,50,228,89
mar,27,8.2,95,58,371,80
jul,15,3.2,28,58,152,70
oct,9,2.5,56,49,95,70
aug,26,7.2,61,45,328,77
nov,31,4.4,72,79,230,71
feb,21,9.0,50,28,216,83
sep,6,2.8,69,66,322,77
dec,24,9.4,55,49,216,86
dec,5,5.4,39,32,174,75
jun,29,5.1,72,26,243,77
jan,5,6.1,78,57,165,84
jan,7,3.6,44,28,389,86
mar,12,9.6,84,40,86,88
jul,28,4.1,85,59,289,70
nov,13,7.6,65,65,364,70
jun,16,2.4,91,21,366,83
feb,22,3.6,77,49,197,87
may,19,2.5,87,64,297,89
jan,29,5.6,29,23,218,87
dec,8,3.0,37,29,120,73
feb,14,1.5,58,52,146,72
may,12,2.8,13,73,228,82
apr,25,8.9,49,52,322,79
jun,22,4.6,28,27,393,84
nov,25,7.0,69,28,111,70
feb,32,7.9,85,79,119,80
jun,20,9.1,20,32,217,85
mar,34,5.7,43,77,205,90
mar,25,6.3,15,79,302,89
sep,29,5.4,48,75,277,76
jan,9,8.6,45,21,209,88
may,14,1.3,53,77,181,82
nov,34,1.3,38,68,123,84
feb,30,3.8,76,42,222,85
may,24,7.8,21,46,397,74
sep,7,5.6,26,37,208,89
mar,23,5.9,28,64,367,88
jul,25,1.6,52,42,106,82
apr,5,4.3,50,30,104,79
jan,11,9.4,66,50,190,82
jul,6,8.1,86,80,250,78
jun,37,9.6,95,28,284,78
dec,10,4.9,26,41,218,84
may,36,8.5,46,46,332,89
jul,10,8.8,78,44,223,87
jun,27,5.9,33,46,393,70
may,10,6.8,42,33,307,71
dec,22,4.5,40,67,362,89
nov,14,3.4,19,61,225,72
nov,17,9.5,50,58,233,90
feb,28,4.4,30,66,133,89
jan,9,8.1,41,55,352,76
apr,23,5.6,52,63,215,84
dec,5,7.9,65,47,347,90
nov,23,9.5,80,43,302,90
jul,36,1.1,95,70,161,79
jul,32,8.1,73,22,177,85
jul,25,4.0,78,26,174,71
mar,31,5.7,47,69,223,80
aug,23,9.3,10,29,175,85
oct,22,5.2,87,48,284,73
apr,36,3.5,56,57,91,79
may,23,9.7,61,59,143,87
feb,24,1.7,51,45,146,81
apr,17,5.3,65,37,393,86
mar,20,2.4,94,32,168,70
feb,14,6.0,20,32,116,81
feb,12,5.5,69,37,156,86
aug,33,8.8,70,24,305,77
aug,7,7.8,12,26,241,70
mar,23,8.4,67,34,288,72
aug,18,6.6,74,41,104,80
sep,16,5.2,12,22,84,82
may,9,4.4,78,56,87,72
jan,16,1.0,22,67,126,80
jun,16,8.4,95,45,100,77
may,22,8.9,89,57,393,72
nov,14,2.1,84,40,150,77
may,23,4.6,58,76,319,73
oct,22,6.2,73,69,352,87
mar,29,8.6,82,32,167,70
jun,12,2.3,55,56,382,83
aug,24,7.8,30,24,319,72
may,29,5.3,62,44,316,76
jan,24,7.6,39,46,303,80
nov,21,1.4,85,52,300,84
dec,36,3.3,54,51,324,84
apr,20,7.0,58,62,338,70
feb,20,9.0,24,59,262,79
mar,34,1.2,58,55,184,77
dec,13,7.8,47,46,355,73
apr,15,7.7,85,40,122,70
may,31,6.2,56,61,113,90
feb,14,7.4,85,69,215,83
jul,6,1.6,45,74,200,83
nov,16,9.0,10,53,329,77
may,22,5.2,83,26,218,88
jun,17,1.8,70,25,355,88
aug,31,10.0,89,69,327,87
jul,7,3.4,36,77,156,85
dec,28,1.9,90,44,309,71
oct,33,6.0,47,38,300,86
aug,20,4.5,26,59,132,76
dec,32,7.8,13,74,131,71
nov,24,2.4,45,43,264,72
feb,36,7.1,20,53,151,72
jan,12,6.2,73,51,257,73
aug,22,2.2,23,25,282,83
apr,21,6.1,34,32,211,75
feb,33,2.5,61,67,182,82
oct,25,2.3,41,28,316,82
sep,23,8.3,40,34,174,72
mar,32,4.0,53,78,244,75
oct,23,1.6,48,54,216,71
apr,22,7.6,24,47,310,75
sep,25,3.0,26,59,342,77
jul,32,5.5,57,67,258,76
may,11,7.3,46,22,329,70
jan,9,9.8,56,64,366,75
dec,29,6.2,36,69,132,90
dec,30,6.1,71,65,166,90
jun,9,6.7,45,30,156,70
feb,26,5.7,50,48,346,79
apr,34,1.6,45,64,194,83
sep,14,5.5,13,44,226,90
may,14,3.7,12,67,388,82
jul,16,5.5,22,34,258,77
may,32,4.6,80,48,222,73
mar,8,5.2,13,34,314,74
mar,35,7.4,76,38,187,89
apr,21,3.8,51,45,237,85
apr,11,0.8,85,64,339,85
may,17,7.4,80,33,168,88
nov,6,5.1,26,26,213,70
sep,37,8.9,11,34,110,82
jul,13,9.0,59,22,285,80
nov,28,3.4,78,74,111,78
jan,18,3.0,14,30,233,72
apr,37,5.3,20,41,249,84
aug,27,7.6,37,22,134,87
may,22,3.5,28,20,238,88
nov,23,1.1,79,39,227,81
apr,36,2.8,68,39,320,84
aug,36,9.9,44,38,128,72
sep,35,4.9,14,80,262,73
jul,5,8.9,20,68,104,71
aug,13,0.9,88,44,311,71
mar,17,9.9,18,29,340,88
nov,37,7.4,54,62,326,89
may,32,2.2,44,63,346,81
may,15,8.7,80,38,275,82
oct,26,3.3,86,39,273,88
jan,5,8.7,25,51,230,75
aug,19,4.3,49,80,163,86
aug,7,5.8,65,59,383,72
jan,37,9.8,45,25,135,80
dec,36,4.9,16,53,328,74
nov,16,4.5,40,52,372,76
may,10,2.9,64,72,219,80
jun,12,0.8,78,56,241,83
mar,7,6.9,13,77,145,82
jun,32,4.9,20,23,382,75
aug,10,4.4,33,78,158,84
apr,22,5.3,89,47,114,72
oct,14,6.8,67,58,392,80
jun,37,4.5,70,39,241,83
jun,11,6.4,85,21,158,73
oct,18,7.7,54,59,256,90
may,17,6.8,25,29,158,85
sep,5,6.9,72,69,114,75
jan,7,6.4,15,77,261,76
jul,14,4.2,64,44,116,70
dec,34,2.8,41,57,307,76
mar,25,3.7,45,65,134,79
nov,11,6.8,45,47,361,83
nov,37,8.3,11,27,102,72
apr,23,1.4,55,33,395,76
jun,8,5.8,34,75,162,70
oct,5,9.6,46,72,109,75
jan,11,2.1,65,24,163,88
apr,23,7.5,70,43,213,72
apr,9,8.6,44,67,370,75
sep,13,6.4,59,78,93,72
feb,12,4.4,95,33,186,84
mar,20,1.0,11,70,156,76
nov,13,4.5,57,23,379,73
jun,26,4.6,50,38,200,84
oct,7,3.6,90,35,364,84
jun,28,5.6,50,67,242,79
dec,7,9.2,61,64,161,87
mar,34,7.3,82,45,156,72
feb,9,10.0,92,40,252,82
jun,8,4.6,72,44,396,87
dec,20,6.5,92,39,104,84
sep,17,4.7,27,60,303,85
sep,20,6.4,76,28,174,80
nov,31,9.2,19,25,240,86
mar,30,7.7,69,41,342,70
aug,18,3.0,21,36,311,76
oct,8,3.8,85,31,86,77
jun,21,1.3,50,26,355,87
dec,17,5.9,15,43,396,86
mar,6,2.7,51,32,278,87
may,5,7.0,24,52,189,90
may,25,6.7,13,72,80,74
apr,9,8.3,49,54,393,70
jun,17,2.8,25,50,281,88
apr,30,6.9,42,37,224,82
feb,28,1.6,62,80,275,84
feb,17,8.9,49,45,130,78
jun,5,6.9,62,29,295,89
jan,7,3.1,27,27,252,83
nov,18,6.6,85,65,228,83
dec,36,1.4,39,79,315,86
feb,8,3.7,26,27,397,78
dec,36,3.3,33,55,254,75
jun,21,7.9,69,41,358,75
mar,30,5.6,21,61,233,82
jun,37,8.3,79,71,270,78
feb,11,1.4,79,76,272,81
dec,20,1.0,20,54,307,73
apr,13,2.0,43,52,390,75
jan,29,7.3,59,20,197,87
nov,34,3.8,46,72,327,75
sep,22,5.4,66,31,326,89
jul,29,4.9,15,44,339,86
sep,37,6.6,49,33,211,83
oct,16,1.2,39,55,124,72
nov,13,2.1,41,58,372,85
oct,32,6.9,34,39,83,74
apr,10,2.8,42,44,309,74
feb,5,4.1,25,63,316,75
jun,33,4.4,95,63,223,79
may,6,9.4,81,41,340,85
dec,35,6.9,66,25,285,71
jan,32,5.2,84,29,141,74
feb,19,10.0,80,54,130,89
sep,35,6.8,23,20,95,74
sep,31,7.4,93,29,250,78
jul,14,9.5,64,38,247,87
mar,32,5.8,41,31,126,82
mar,25,5.3,28,73,247,78
jul,19,10.0,12,61,369,71
jan,31,5.2,32,77,170,74
mar,7,9.6,27,77,374,83
apr,27,8.4,94,55,196,72
jul,25,9.2,86,26,383,81
nov,16,4.4,78,48,119,79
nov,17,3.7,18,32,126,78
jun,30,3.5,26,68,121,77
oct,36,7.5,26,56,181,84
oct,11,8.0,51,34,292,84
jul,31,8.0,86,67,189,82
aug,7,2.5,82,76,145,78
oct,14,5.7,39,60,141,73
mar,23,7.4,60,45,390,90
aug,24,1.2,44,21,221,89
jul,14,7.5,32,42,361,74
jan,29,1.4,60,62,293,71
nov,17,6.5,86,55,169,84
may,17,2.1,50,53,188,88
may,13,6.6,54,42,151,82
jan,16,3.3,94,49,275,73
dec,26,9.3,92,43,217,85
jun,24,9.0,52,41,369,77
dec,25,7.2,89,45,319,89
jan,25,7.7,93,35,196,82
dec,28,0.9,14,27,194,72
jun,31,7.3,18,65,135,85
nov,5,4.9,78,61,103,71
sep,17,6.7,54,37,162,71
jul,12,5.8,33,26,120,73
sep,16,1.1,89,44,294,80
jun,26,5.7,60,28,259,82
feb,37,7.9,17,39,94,89
oct,23,6.6,45,47,346,78
jun,25,6.2,90,60,317,89
jul,14,8.9,73,54,128,84
mar,6,0.8,19,53,196,86
feb,37,3.8,52,51,181,90
jun,35,1.0,92,77,248,71
dec,5,7.7,19,29,265,88
nov,17,5.9,95,20,314,70
jan,31,6.0,59,24,398,89
sep,17,4.4,58,69,372,81
jun,32,2.6,23,71,195,82
jan,34,8.4,32,53,256,73
sep,14,4.3,21,25,167,80
jan,13,9.1,80,72,156,87
nov,19,6.9,67,55,224,79
jun,15,4.3,63,79,365,76
mar,6,9.0,35,61,108,86
apr,35,5.1,87,60,368,80
oct,18,3.2,48,26,303,72
nov,14,5.9,21,59,295,81
may,11,8.4,68,33,239,75
oct,12,3.8,25,57,150,89
jul,24,5.4,33,34,269,90
sep,15,9.7,58,53,293,75
jun,14,7.4,76,53,292,84
jun,32,7.5,10,56,220,73
aug,16,5.6,16,54,198,90
sep,13,4.6,23,46,110,87
mar,31,1.9,70,50,352,71
oct,14,4.5,16,39,119,72
jan,10,4.9,92,54,213,80
jul,28,7.9,24,63,181,84
mar,22,2.6,43,64,171,83
jan,20,2.4,58,29,261,84
dec,26,7.7,50,46,125,76
jan,29,3.7,61,30,330,89
jul,17,9.3,13,41,163,81
oct,35,7.5,19,21,362,79
feb,11,7.4,38,68,355,78
dec,27,3.4,34,42,278,85
nov,7,9.7,56,75,376,72
jan,12,1.6,34,59,369,84
may,8,5.1,86,76,280,84
aug,27,6.4,34,50,194,87
jan,7,4.9,55,43,266,74
aug,26,2.7,45,68,263,85
sep,24,4.3,32,24,103,88
apr,14,1.6,30,72,394,77
jun,9,3.0,48,52,101,74
jun,36,1.4,36,23,164,74
aug,10,6.7,12,34,247,84
jan,37,3.6,61,54,136,90
jan,27,5.5,28,56,104,84
nov,24,3.8,72,48,285,82
jun,12,0.9,63,68,330,86
nov,12,8.6,76,42,162,83
feb,34,3.7,91,76,388,83
feb,36,3.0,77,76,93,71
jun,17,3.8,57,46,236,87
nov,11,7.4,22,60,271,82
apr,31,8.6,65,31,273,77
oct,5,1.5,44,34,96,85
dec,33,6.1,36,26,125,84
jul,12,9.9,87,44,218,78
oct,16,6.2,73,40,244,83
may,20,9.0,30,60,231,85
feb,31,8.6,40,65,89,86
oct,8,7.6,62,63,359,73
mar,8,6.1,45,79,380,78
nov,7,5.5,87,50,295,90
oct,9,1.7,41,45,331,90
may,9,5.6,90,65,187,85
jun,22,3.0,19,79,242,90
aug,13,1.4,64,37,369,76
may,20,5.0,48,36,393,72
sep,18,9.5,62,80,256,84
may,24,1.5,59,59,192,70
mar,12,1.7,26,37,376,81
oct,8,8.4,36,80,240,86
jun,17,5.3,34,70,148,85
jan,33,3.4,47,47,223,71
oct,10,7.7,34,28,186,77
jul,23,7.4,88,22,134,84
may,33,0.8,54,24,250,87
may,16,10.0,94,52,229,78
oct,37,4.4,36,37,195,76
jul,19,6.8,32,32,312,87
feb,10,6.9,42,77,82,81
jul,22,8.1,20,46,196,86
jun,13,1.6,61,25,189,83
mar,12,8.8,57,21,311,87
aug,12,6.1,69,49,154,79
jan,8,6.1,95,57,395,82
jun,34,1.3,72,56,213,74
may,32,3.6,54,73,94,88
dec,23,2.3,32,39,378,78
dec,15,2.0,15,55,225,87
dec,19,4.7,69,67,299,84
oct,21,2.0,35,73,180,89
jul,17,7.9,85,62,248,79
nov,20,4.1,49,28,94,83
may,21,2.9,44,49,251,80
apr,5,4.2,24,45,363,84
oct,29,5.6,89,65,392,89
jul,12,3.4,56,67,229,70
oct,14,8.7,16,59,366,81
oct,24,4.2,36,32,278,85
feb,13,1.8,33,41,162,78
mar,32,7.2,12,41,287,83
mar,18,2.0,50,50,379,82
jul,19,9.2,78,25,182,73
jul,24,1.0,39,70,118,75
mar,19,3.1,75,36,108,89
feb,20,3.8,95,24,322,89
sep,9,1.5,48,66,158,71
mar,37,2.8,48,72,319,72
sep,25,9.8,34,63,119,80
aug,21,2.1,47,20,271,74
nov,12,2.6,81,31,203,76
dec,21,7.8,23,37,211,73
dec,33,7.1,16,65,364,74
sep,34,8.5,94,43,219,71
jun,17,3.5,75,48,278,74
apr,36,3.9,66,62,261,74
jan,11,7.9,39,71,190,85
dec,31,4.8,55,24,114,74
jan,15,4.1,90,75,137,85
dec,18,9.1,23,29,347,82
may,10,1.2,90,57,248,70
jun,11,4.3,95,51,396,71
dec,14,8.7,66,58,203,73
aug,12,7.3,29,57,137,90
nov,16,4.9,79,22,232,90
sep,22,3.2,45,77,173,83
jun,27,4.5,62,37,297,79
jan,18,1.8,77,61,290,82
jun,8,2.9,63,24,237,85
may,35,3.8,22,61,260,87
apr,6,7.2,52,26,163,87
apr,37,3.7,12,35,332,84
oct,35,7.4,15,57,146,83
nov,27,10.0,66,72,340,88
jan,22,2.9,85,71,259,87
feb,11,3.4,15,63,138,77
sep,6,5.8,21,78,262,77
jun,13,2.8,73,36,178,88
feb,26,1.4,41,40,317,70
oct,22,2.2,91,80,279,87
may,6,9.3,27,44,373,71
aug,31,4.9,41,78,242,84
sep,16,2.4,70,47,178,78
jan,5,4.6,76,23,266,81
dec,23,5.9,30,28,329,72
feb,9,3.3,18,64,119,77
nov,22,6.1,94,31,121,75
mar,8,5.5,47,66,348,85
jul,18,8.0,23,42,199,71
feb,23,7.5,38,27,261,78
nov,33,8.0,70,71,389,74
oct,15,5.0,29,29,141,73
sep,11,1.2,35,54,394,71
jul,20,3.4,67,33,277,83
aug,33,6.7,63,26,376,76
aug,28,3.5,28,71,264,87
aug,32,4.7,48,47,289,90
dec,23,3.8,10,60,98,85
apr,34,3.7,47,44,243,73
nov,31,3.6,40,51,327,87
dec,22,3.8,24,70,132,87
dec,14,7.0,38,62,246,84
jan,16,8.4,87,68,189,79
nov,33,7.6,44,57,253,79
jul,15,1.4,51,74,246,72
dec,21,1.7,59,20,209,78
mar,18,2.5,61,24,215,82
dec,7,1.7,34,46,286,82
nov,31,6.6,67,26,334,72
feb,35,8.1,59,55,95,89
dec,24,3.9,22,21,171,88
may,22,1.8,13,32,400,85
feb,6,7.8,89,62,233,83
dec,9,1.7,76,71,356,82
nov,24,5.0,30,71,147,73
jan,5,1.0,50,66,295,83
jul,19,5.1,76,21,286,86
apr,33,3.3,75,33,189,81
jun,19,3.8,39,28,132,83
jul,32,6.5,93,33,97,88
aug,36,10.0,76,52,371,83
jun,7,2.9,23,29,263,79
nov,34,7.5,27,62,260,77
dec,21,0.9,22,69,131,71
apr,12,6.3,39,80,164,87
may,28,6.1,55,52,273,77
feb,27,8.2,13,49,128,74
nov,28,1.5,72,38,223,87
nov,15,0.9,32,20,89,87
jan,14,3.0,86,29,243,72
may,32,4.5,58,26,347,70
feb,23,3.0,81,70,189,80
feb,9,9.1,12,35,172,77
may,17,3.1,91,30,93,77
aug,17,2.4,54,46,98,73
mar,34,1.4,56,72,295,89
feb,24,10.0,74,57,301,76
oct,17,9.4,74,27,154,90
mar,26,7.9,81,45,160,86
apr,14,2.9,46,77,187,87
jun,16,4.0,56,59,316,70
may,33,9.8,36,52,329,82
jan,14,10.0,44,48,171,85
sep,28,7.8,82,58,201,88
jul,13,3.7,80,42,365,88
may,18,5.3,93,41,380,86
jul,27,5.5,79,72,278,87
aug,35,6.0,63,56,376,86
feb,26,4.1,25,32,285,89
jan,12,3.1,42,35,205,90
aug,34,1.0,54,79,349,76
may,23,4.7,27,61,270,82
mar,32,10.0,48,55,380,86
may,5,3.5,67,29,292,77
feb,6,4.9,63,58,278,82
oct,35,5.1,56,43,390,80
apr,7,1.7,56,21,358,75
nov,35,0.8,72,50,238,83
feb,28,8.9,76,77,112,83
feb,26,5.5,18,70,309,77
oct,37,4.1,18,40,302,76
may,23,3.8,26,20,256,90
aug,21,6.8,71,47,136,75
apr,10,6.6,58,71,168,79
aug,27,2.1,87,42,345,86
feb,5,2.6,47,48,218,83
nov,11,1.6,29,53,243,86
jan,20,1.4,18,50,126,87
jun,28,2.4,65,62,80,79
may,14,8.9,54,29,121,76
jul,25,1.0,70,36,375,74
dec,32,9.0,54,57,216,80
jan,34,6.6,53,26,116,87
apr,34,2.5,22,35,129,72
nov,6,1.1,31,59,346,82
may,29,6.2,57,28,342,70
jul,9,4.0,66,79,106,77
aug,7,4.1,21,37,86,73
jan,31,4.7,56,66,210,79
nov,18,3.3,67,65,396,71
dec,25,2.0,93,51,380,77
may,31,8.2,48,57,303,87
sep,36,8.9,40,71,220,85
apr,21,8.4,87,80,162,73
mar,34,8.4,80,45,84,77
nov,17,7.3,24,53,186,70
jul,18,9.4,61,50,236,84
nov,22,3.4,51,52,158,74
jun,29,9.1,40,60,153,80
aug,19,1.4,67,53,195,80
may,26,2.2,14,48,185,89
nov,29,7.8,15,49,109,86
sep,15,2.8,51,66,374,88
jan,32,5.9,67,67,150,77
dec,36,3.2,57,57,213,84
oct,8,9.0,86,27,246,88
mar,20,6.6,54,76,393,73
may,14,8.8,22,33,140,76
may,11,8.1,18,48,158,77
feb,6,7.2,90,54,94,87
mar,18,9.3,35,41,98,75
nov,24,1.1,43,56,255,80
aug,16,2.5,79,29,400,75
sep,33,9.3,81,33,390,80
mar,18,8.1,88,28,112,86
jan,27,3.3,10,33,267,72
may,37,9.1,61,67,174,74
dec,6,2.6,71,74,140,77
jan,14,7.1,11,74,199,72
nov,16,6.6,82,61,159,85
jul,21,6.7,64,66,391,72
jan,8,3.6,54,69,201,76
feb,22,4.5,85,64,241,84
apr,11,2.8,64,43,146,86
nov,23,1.1,63,43,303,78
jun,31,6.5,21,42,125,85
nov,33,0.9,33,27,255,89
jun,11,9.8,67,74,144,76
apr,6,4.2,88,38,233,78
nov,24,1.2,26,50,223,72
nov,22,5.5,60,48,254,73
jan,21,7.6,70,42,239,88
apr,23,8.5,19,52,145,74
jan,36,6.9,43,47,230,76
dec,13,4.1,90,53,251,83
jul,17,2.6,29,23,274,80
jun,11,4.7,18,55,322,71
oct,33,2.0,35,40,388,81
nov,19,9.0,78,73,196,84
dec,37,9.1,68,62,279,77
jan,36,3.7,73,62,138,82
sep,29,9.8,14,75,264,78
sep,22,6.9,17,68,82,85
nov,36,7.7,75,45,318,70
feb,11,4.7,68,36,160,76
dec,25,2.2,93,36,361,76
mar,32,4.1,70,38,377,85
jul,14,9.2,16,51,293,89
feb,29,4.0,34,53,156,79
jun,5,4.1,89,30,119,77
apr,32,6.7,51,66,115,87
jul,26,7.7,41,23,188,84
jan,14,4.4,94,59,217,80
aug,22,7.8,14,33,88,77
feb,8,0.9,95,31,104,87
dec,23,5.8,47,37,97,84
nov,15,4.5,58,49,365,71
dec,20,6.2,51,63,109,71
nov,9,9.4,55,53,256,71
oct,18,2.5,39,62,190,73
oct,23,1.4,91,34,210,73
apr,19,1.0,31,59,265,78
feb,31,4.6,47,56,92,88
mar,34,5.1,45,31,160,78
jul,37,6.4,23,46,290,87
jul,14,8.6,81,79,376,90
dec,13,0.9,62,78,260,81
nov,30,7.0,27,74,330,73
aug,11,8.3,45,32,97,85
mar,12,9.0,23,69,329,79
dec,15,6.7,84,74,80,76
feb,9,8.9,40,76,201,81
dec,35,8.3,11,50,125,74
may,20,7.5,34,53,186,88
oct,18,1.8,60,70,172,70
jul,16,7.3,31,68,189,72
dec,16,5.3,40,65,145,77
oct,5,5.7,31,61,188,72
jul,35,2.2,78,31,335,80
jan,16,7.4,45,48,86,82
jun,5,6.0,64,48,315,76
nov,7,3.5,86,54,301,74
feb,9,6.4,55,57,321,70
jan,34,6.7,64,66,397,77
apr,29,9.8,45,45,236,85
nov,6,4.4,74,43,279,76
jun,6,6.3,22,50,381,70
jan,36,2.0,22,33,107,84
nov,11,9.3,72,29,245,71
may,32,6.0,71,41,160,71
mar,25,6.5,29,20,179,88
jun,21,4.3,86,63,197,88
mar,6,6.7,13,52,306,79
apr,18,1.2,40,45,203,90
dec,28,8.1,27,44,210,82
sep,12,8.5,76,66,224,85
oct,36,1.4,91,65,253,84
mar,25,6.0,56,69,256,78
jan,19,7.9,88,35,317,84
may,23,7.3,12,21,310,82
nov,13,5.4,82,34,165,81
mar,23,4.0,55,30,263,75
jun,6,2.9,65,53,141,77
jul,14,4.7,86,33,291,87
apr,26,9.4,62,48,315,83
sep,20,0.8,23,28,355,73
sep,18,2.9,37,69,296,70
jun,7,4.9,48,76,91,85
jan,12,8.8,48,41,190,81
aug,12,1.8,58,76,307,75
mar,10,1.5,47,49,260,81
mar,7,1.3,16,70,260,84
jun,26,6.2,47,29,228,79
nov,31,9.1,69,42,308,80
feb,10,7.8,57,48,354,82
jun,24,1.1,86,73,278,88
mar,6,0.9,39,68,94,71
aug,30,3.2,18,75,301,86
sep,19,5.5,59,39,392,71
mar,27,1.7,14,67,310,88
jul,35,2.9,51,52,107,70
sep,15,1.8,53,39,347,71
jan,9,8.8,45,23,214,77
jun,28,2.6,77,42,123,88
nov,26,4.3,44,34,281,78
sep,35,1.2,30,36,370,87
jun,25,6.7,71,54,167,90
may,13,1.2,94,51,207,72
nov,19,2.1,29,78,330,84
sep,7,8.9,37,79,161,86
nov,23,8.6,39,48,361,70
apr,37,9.5,12,31,98,70
jan,35,0.9,37,30,386,70
nov,18,5.6,54,31,319,76
jul,14,7.4,21,57,399,86
dec,32,1.8,58,43,309,76
apr,22,2.6,86,42,372,78
jul,34,3.9,30,31,399,75
may,19,5.8,79,22,273,81
feb,6,7.0,24,42,158,87
aug,29,6.3,61,55,195,89
apr,36,8.7,76,20,91,75
jan,14,6.3,41,58,390,83
jul,32,2.3,30,43,299,85
jun,33,5.1,17,46,87,79
apr,8,5.7,38,73,236,73
nov,37,3.6,62,58,267,70
mar,9,4.9,55,38,114,81
jul,18,5.4,72,59,156,71
may,28,8.6,45,54,301,89
oct,18,3.8,35,40,321,82
mar,19,8.1,81,55,138,85
mar,6,2.4,28,36,206,73
may,10,4.9,79,22,186,82
nov,25,8.1,54,64,133,70
sep,10,5.2,74,20,204,82
jun,21,2.5,75,22,364,78
mar,15,5.6,37,78,381,85
feb,6,2.7,80,33,270,89
jan,19,2.6,15,62,211,72
may,30,8.0,32,53,117,86
mar,17,5.9,47,62,344,82
jun,5,7.7,78,40,164,78
apr,28,2.0,64,71,85,78
apr,29,6.5,58,52,175,75
jul,22,4.5,70,64,361,70
jul,22,8.8,32,58,159,82
jan,28,7.4,11,68,269,72
sep,8,2.4,18,53,188,80
apr,20,2.1,93,35,245,88
jun,36,4.7,32,45,148,82
